(morp)	B_PS	B_OG	B_LC	B_DT	B_TI	I_PS	I_OG	I_LC	I_DT	I_TI	O	I
보아주	0	0	0	0	0	0	0	0	0	0	1	0
전자	0	0	0	0	0	0	0	0	0	0	1	1
더라도	0	0	0	0	0	0	0	0	0	0	22	0
CIA	0	1	0	0	0	0	0	0	0	0	0	0
영태전자	0	1	0	0	0	0	0	0	0	0	0	0
남진	1	0	0	0	0	0	0	0	0	0	0	0
카메라	0	0	0	0	0	0	0	0	0	0	3	0
수표책	0	0	0	0	0	0	0	0	0	0	1	0
반갑	0	0	0	0	0	0	0	0	0	0	7	0
정윤미	1	0	0	0	0	0	0	0	0	0	0	0
캐비넷	0	0	0	0	0	0	0	0	0	0	1	0
위기센터	0	0	0	0	0	0	0	0	0	0	1	0
입춘	0	0	0	1	0	0	0	0	0	0	0	0
시행	0	0	0	0	0	0	0	0	0	0	2	0
분노	0	0	0	0	0	0	0	0	0	0	10	0
국립	0	0	1	0	0	0	0	0	0	0	1	1
60	0	0	0	6	0	0	0	0	0	0	8	1
존스	0	0	0	0	0	0	0	0	0	0	0	1
발함	0	0	0	0	0	0	0	0	0	0	3	0
전용숙소	0	0	0	0	0	0	0	0	0	0	1	0
비디오테이프	0	0	0	0	0	0	0	0	0	0	1	0
건강	0	0	0	0	0	0	0	0	0	0	5	0
태연	0	0	0	0	0	0	0	0	0	0	1	0
의무	0	0	0	0	0	0	0	0	0	0	6	0
약간	0	0	0	0	0	0	0	0	0	0	10	0
인기연예인	0	0	0	0	0	0	0	0	0	0	1	0
유럽연합	0	2	0	0	0	0	0	0	0	0	0	0
사후처리	0	0	0	0	0	0	0	0	0	0	1	0
존귀	0	0	0	0	0	0	0	0	0	0	1	0
만족	0	0	0	0	0	0	0	0	0	0	4	0
불매운동	0	0	0	0	0	0	0	0	0	0	1	0
탈이념	0	0	0	0	0	0	0	0	0	0	1	0
김도연	1	0	0	0	0	0	0	0	0	0	0	0
꺼리	0	0	0	0	0	0	0	0	0	0	3	0
한국성리학	0	0	1	0	0	0	0	0	0	0	2	0
참나무	0	0	0	0	0	0	0	0	0	0	1	0
문하생	0	0	0	0	0	0	0	0	0	0	1	0
게으르	0	0	0	0	0	0	0	0	0	0	2	0
연자맷간	0	0	0	0	0	0	0	0	0	0	1	0
용감	0	0	0	0	0	0	0	0	0	0	1	0
늘어서	0	0	0	0	0	0	0	0	0	0	1	0
감투	0	0	0	0	0	0	0	0	0	0	1	0
리프트이용료	0	0	0	0	0	0	0	0	0	0	1	0
소풍날	0	0	0	0	0	0	0	0	0	0	1	0
뒷산	0	0	0	0	0	0	0	0	0	0	1	0
뇌물수수	0	0	0	0	0	0	0	0	0	0	1	0
한테	0	0	0	0	0	0	0	0	0	0	18	0
교감승진	0	0	0	0	0	0	0	0	0	0	1	0
사명감	0	0	0	0	0	0	0	0	0	0	1	0
왕실	0	0	0	0	0	0	0	0	0	0	2	0
교육후	0	0	0	0	0	0	0	0	0	0	1	0
곤	0	0	0	0	0	0	0	0	0	0	5	0
교수팀	0	0	0	0	0	0	0	0	0	0	1	0
우군	0	0	0	0	0	0	0	0	0	0	1	0
작전	0	0	0	0	0	0	0	0	0	0	7	0
주	0	0	0	0	0	0	0	0	0	0	323	7
울	0	0	0	0	0	0	0	0	0	0	14	0
현주누나	4	0	0	0	0	0	0	0	0	0	5	0
목련장	0	0	0	0	0	0	0	0	0	0	1	0
심의	0	0	0	0	0	0	0	0	0	0	4	0
세상	0	0	0	0	0	0	0	0	0	0	32	0
폐막	0	0	0	0	0	0	0	0	0	0	1	0
장관결재	0	0	0	0	0	0	0	0	0	0	1	0
다양	0	0	0	0	0	0	0	0	0	0	16	0
한번	0	0	0	0	0	0	0	0	0	0	1	0
주유소	0	0	0	0	0	0	0	0	0	0	1	0
피해자	0	0	0	0	0	0	0	0	0	0	1	0
으리라	0	0	0	0	0	0	0	0	0	0	7	0
평일중	0	0	0	0	0	0	0	0	0	0	1	0
명상	0	0	0	0	0	0	0	0	0	0	2	0
최강력	0	0	0	0	0	0	0	0	0	0	1	0
합당	0	0	0	0	0	0	0	0	0	0	2	0
교육부장관	0	4	0	0	0	0	0	0	0	0	0	0
기독교신앙	0	1	0	0	0	0	0	0	0	0	0	0
다이	0	0	0	0	0	0	0	0	0	0	1	0
떨구	0	0	0	0	0	0	0	0	0	0	1	0
신기	0	0	0	0	0	0	0	0	0	0	2	0
정부발표	0	1	0	0	0	0	0	0	0	0	0	0
값	0	0	0	0	0	0	0	0	0	0	7	0
과거제도	0	0	0	0	0	0	0	0	0	0	1	0
국민학교	0	0	0	0	0	0	0	0	0	0	5	0
107	0	0	0	0	0	0	0	0	0	0	1	0
불	0	0	0	0	0	0	0	0	0	0	33	0
에스이에스	0	1	0	0	0	0	0	0	0	0	0	0
신작로	0	0	0	0	0	0	0	0	0	0	2	0
사람	0	0	0	0	0	0	0	0	0	0	173	0
인솔교사	0	0	0	0	0	0	0	0	0	0	1	0
시의원	0	0	0	0	0	0	0	0	0	0	1	0
편쌈	0	0	0	0	0	0	0	0	0	0	1	0
귀국길	0	0	0	0	0	0	0	0	0	0	1	0
강택민	1	0	0	0	0	0	0	0	0	0	0	0
실감	0	0	0	0	0	0	0	0	0	0	3	0
독자	0	0	0	0	0	0	0	0	0	0	7	0
폭탄테러	0	0	0	0	0	0	0	0	0	0	1	0
원액	0	0	0	0	0	0	0	0	0	0	1	0
상가	0	0	0	0	0	0	0	0	0	0	2	0
퇴장	0	0	0	0	0	0	0	0	0	0	2	0
개교	0	0	0	0	0	0	0	0	0	0	2	0
겨룸	0	0	0	0	0	0	0	0	0	0	1	0
칠십만	0	0	0	0	0	0	0	0	0	0	1	0
3500	0	0	0	0	0	0	0	0	0	0	1	0
수학분야	0	0	0	0	0	0	0	0	0	0	1	0
금방	0	0	0	0	0	0	0	0	0	0	12	0
삼	0	0	0	5	0	0	0	0	0	0	19	0
다던	0	0	0	0	0	0	0	0	0	0	1	0
시위대	0	0	0	0	0	0	0	0	0	0	1	0
매너	0	0	0	0	0	0	0	0	0	0	1	0
을지문덕	1	0	0	0	0	0	0	0	0	0	0	0
부대	0	0	0	0	0	0	0	0	0	0	9	0
목걸이	0	0	0	0	0	0	0	0	0	0	1	0
에세네파	0	0	0	0	0	0	0	0	0	0	1	0
아스펜	0	0	1	0	0	0	0	0	0	0	1	0
신야	0	0	1	0	0	0	0	0	0	0	0	0
국정홍보	0	0	0	0	0	0	0	0	0	0	1	0
러닝타임	0	0	0	0	0	0	0	0	0	0	1	0
뾰족하	0	0	0	0	0	0	0	0	0	0	1	0
작정	0	0	0	0	0	0	0	0	0	0	2	0
의견수렴	0	0	0	0	0	0	0	0	0	0	1	0
명예	0	0	0	0	0	0	0	0	0	0	1	0
문양	0	0	0	0	0	0	0	0	0	0	1	0
접적	0	0	0	0	0	0	0	0	0	0	1	0
답안	0	0	0	0	0	0	0	0	0	0	1	0
소명	0	0	0	0	0	0	0	0	0	0	1	0
장병	0	0	0	0	0	0	0	0	0	0	5	0
책임	0	0	0	0	0	0	0	0	0	0	11	0
누벨	0	0	0	0	0	0	0	0	0	0	3	0
사장	0	0	0	0	0	0	0	0	0	0	13	0
도교	0	4	0	0	0	0	0	0	0	0	1	0
갈레노스	9	0	0	0	0	0	0	0	0	0	0	0
여성잡지	0	0	0	0	0	0	0	0	0	0	1	0
낙선	0	0	0	0	0	0	0	0	0	0	1	0
전시관	0	0	0	0	0	0	0	0	0	0	2	0
근처	0	0	0	0	0	0	0	0	0	0	3	0
科學	0	0	0	0	0	0	0	0	0	0	1	0
모집	0	0	0	0	0	0	0	0	0	0	6	0
두께	0	0	0	0	0	0	0	0	0	0	1	0
절제	0	0	0	0	0	0	0	0	0	0	1	0
사항	0	0	0	0	0	0	0	0	0	0	4	0
최대	0	0	0	0	0	0	0	0	0	0	13	0
국경일	0	0	0	0	0	0	0	0	0	0	0	1
수천	0	0	0	1	0	0	0	0	0	0	0	0
새벽종	0	0	0	0	1	0	0	0	0	0	1	0
기억	0	0	0	0	0	0	0	0	0	0	18	0
줄모가비	0	0	0	0	0	0	0	0	0	0	1	0
장본인	0	0	0	0	0	0	0	0	0	0	1	0
노동	0	0	0	0	0	0	0	0	0	0	4	0
모기	0	0	0	0	0	0	0	0	0	0	1	0
결혼식장	0	0	0	0	0	0	0	0	0	0	2	0
거주민	0	0	0	0	0	0	0	0	0	0	1	0
가능	0	0	0	0	0	0	0	0	0	0	41	0
서해	0	0	2	0	0	0	0	0	0	0	0	0
모양	0	0	0	0	0	0	0	0	0	0	20	0
어용상인	0	0	0	0	0	0	0	0	0	0	1	0
앙그라	2	0	0	0	0	0	0	0	0	0	0	0
적시	0	0	0	0	0	0	0	0	0	0	2	0
막내	0	0	0	0	0	0	0	0	0	0	1	0
일곱	0	0	0	0	0	0	0	0	0	0	5	0
국방장관	0	0	0	0	0	0	0	0	0	0	4	0
특수협력	0	0	0	0	0	0	0	0	0	0	1	0
핏발	0	0	0	0	0	0	0	0	0	0	1	0
불안감	0	0	0	0	0	0	0	0	0	0	2	0
보복	0	0	0	0	0	0	0	0	0	0	3	0
목표	0	0	0	0	0	0	0	0	0	0	8	0
연휴	0	0	0	0	0	0	0	0	0	0	1	0
열거	0	0	0	0	0	0	0	0	0	0	1	0
밀수	0	0	0	0	0	0	0	0	0	0	1	0
파당간	0	0	0	0	0	0	0	0	0	0	1	0
에라스무스상	0	0	0	0	0	0	0	0	0	0	1	0
비추	0	0	0	0	0	0	0	0	0	0	5	0
브루크너	5	0	0	0	0	0	0	0	0	0	0	0
FBI	0	1	0	0	0	0	0	0	0	0	0	0
ㄹ새라	0	0	0	0	0	0	0	0	0	0	1	0
의학	0	0	0	0	0	0	0	0	0	0	2	0
수입	0	0	0	0	0	0	0	0	0	0	6	0
볼	0	0	0	0	0	0	0	0	0	0	1	0
모순	0	0	0	0	0	0	0	0	0	0	3	0
길다랗	0	0	0	0	0	0	0	0	0	0	1	0
사기술	0	0	0	0	0	0	0	0	0	0	1	0
방면	0	0	0	0	0	0	0	0	0	0	3	0
영문	0	0	0	0	0	0	0	0	0	0	2	0
뜨	0	0	0	0	0	0	0	0	0	0	16	0
신촌	0	0	1	0	0	0	0	0	0	0	0	0
기안	0	0	0	0	0	0	0	0	0	0	1	0
부각	0	0	0	0	0	0	0	0	0	0	3	0
표류	0	0	0	0	0	0	0	0	0	0	1	0
벌이	0	0	0	0	0	0	0	0	0	0	22	0
빼내	0	0	0	0	0	0	0	0	0	0	1	0
프랑스어	0	0	0	0	0	0	0	0	0	0	2	0
낙관	0	0	0	0	0	0	0	0	0	0	1	0
의류업	0	0	0	0	0	0	0	0	0	0	1	0
노약자	0	0	0	0	0	0	0	0	0	0	1	0
쉭쉭	0	0	0	0	0	0	0	0	0	0	1	0
이외	0	0	0	0	0	0	0	0	0	0	3	0
제발	0	0	0	0	0	0	0	0	0	0	1	0
옆눈	0	0	0	0	0	0	0	0	0	0	1	0
시끄럽	0	0	0	0	0	0	0	0	0	0	1	0
책략	0	0	0	0	0	0	0	0	0	0	1	0
성룡	1	0	0	0	0	0	0	0	0	0	0	0
해	0	0	16	1	0	0	0	0	0	0	24	5
보내오	0	0	0	0	0	0	0	0	0	0	2	0
의원	0	0	0	0	0	0	0	0	0	0	14	0
황금시장	0	0	0	0	0	0	0	0	0	0	1	0
自主權	0	0	0	0	0	0	0	0	0	0	1	0
입안	0	0	0	0	0	0	0	0	0	0	1	0
유난스레	0	0	0	0	0	0	0	0	0	0	1	0
연탄불	0	0	0	0	0	0	0	0	0	0	1	0
작년말	0	0	0	3	0	0	0	0	0	0	0	0
거창	0	0	0	0	0	0	0	0	0	0	1	0
전례	0	0	0	0	0	0	0	0	0	0	1	0
영화제	0	0	0	0	0	0	0	0	0	0	1	0
증상	0	0	0	0	0	0	0	0	0	0	2	0
수필	0	0	0	0	0	0	0	0	0	0	1	0
잠수함	0	0	0	1	0	0	0	0	0	0	9	0
철물이굿	0	0	0	0	0	0	0	0	0	0	1	0
성수	1	0	0	0	0	0	0	0	0	0	0	0
전시현장	0	0	0	0	0	0	0	0	0	0	1	0
인형	0	0	0	0	0	0	0	0	0	0	1	0
내외	0	0	0	0	0	0	0	0	0	0	5	0
동네	0	0	0	0	0	0	0	0	0	0	10	0
재천명	0	0	0	0	0	0	0	0	0	0	1	0
최신	0	0	0	0	0	0	0	0	0	0	3	0
편	0	0	0	0	0	0	0	0	0	0	22	0
곧이곧대로	0	0	0	0	0	0	0	0	0	0	1	0
일	0	0	4	14	1	0	0	0	0	0	199	190
대학자	0	0	0	0	0	0	0	0	0	0	1	0
계열사	0	0	0	0	0	0	0	0	0	0	2	0
지방장관	0	0	0	0	0	0	0	0	0	0	1	0
高宗	1	0	0	0	0	0	0	0	0	0	0	0
다는	0	0	0	0	0	0	0	0	0	0	226	0
근절	0	0	0	0	0	0	0	0	0	0	1	0
요즘	0	0	0	0	0	0	0	0	0	0	17	0
젊은이	0	0	0	0	0	0	0	0	0	0	17	0
세놓	0	0	0	0	0	0	0	0	0	0	1	0
등장	0	0	0	0	0	0	0	0	0	0	12	0
천체	0	0	0	0	0	0	0	0	0	0	4	0
독선	0	0	0	0	0	0	0	0	0	0	1	0
대여섯	0	0	0	0	0	0	0	0	0	0	1	0
EMI	0	1	0	0	0	0	0	0	0	0	0	0
성원	0	0	0	0	0	0	0	0	0	0	2	0
스스로	0	0	0	0	0	0	0	0	0	0	16	0
기혼	0	0	0	0	0	0	0	0	0	0	1	0
맞서	0	0	0	0	0	0	0	0	0	0	10	0
서열	0	0	0	0	0	0	0	0	0	0	1	0
민간교류	0	0	0	0	0	0	0	0	0	0	1	0
농담	0	0	0	0	0	0	0	0	0	0	4	0
1699	0	0	0	1	0	0	0	0	0	0	0	0
특별	0	0	0	0	0	0	0	0	0	0	8	0
루체른	0	0	2	0	0	0	0	0	0	0	1	0
ㄴ들	0	0	0	0	0	0	0	0	0	0	4	0
경	0	0	0	0	0	0	0	0	0	0	0	4
국방예산	0	0	0	0	0	0	0	0	0	0	2	0
굴	0	0	0	0	0	0	0	0	0	0	1	0
폴란드	0	0	2	0	0	0	0	0	0	0	0	0
꺾	0	0	0	0	0	0	0	0	0	0	3	0
전당	0	0	0	0	0	0	0	0	0	0	4	0
공조체제	0	0	0	0	0	0	0	0	0	0	3	0
존중	0	0	0	0	0	0	0	0	0	0	1	0
싹둑	0	0	0	0	0	0	0	0	0	0	1	0
내부지침	0	0	0	0	0	0	0	0	0	0	1	0
앞집	0	0	0	0	0	0	0	0	0	0	1	0
답습	0	0	0	0	0	0	0	0	0	0	1	0
민주언론	0	1	0	0	0	0	0	0	0	0	0	0
오디션	0	0	0	0	0	0	0	0	0	0	2	0
개혁통신	0	1	0	0	0	0	0	0	0	0	0	0
박	4	0	0	0	0	0	0	0	0	0	6	4
점점	0	0	0	0	0	0	0	0	0	0	7	0
순방길	0	0	0	0	0	0	0	0	0	0	1	0
스가랴	0	0	1	0	0	0	0	0	0	0	0	0
무효선언	0	0	0	0	0	0	0	0	0	0	1	0
주리주기	0	0	0	0	0	0	0	0	0	0	1	0
열대지방	0	0	0	0	0	0	0	0	0	0	1	0
재현	0	0	0	0	0	0	0	0	0	0	4	0
걸리	0	0	0	0	0	0	0	0	0	0	14	0
지불	0	0	0	0	0	0	0	0	0	0	4	0
특별활동	0	0	0	0	0	0	0	0	0	0	1	0
93	0	0	0	7	0	0	0	0	0	0	1	0
늙은이	0	0	0	0	0	0	0	0	0	0	6	0
셈	0	0	0	0	0	0	0	0	0	0	16	0
강력히	0	0	0	0	0	0	0	0	0	0	4	0
내의	0	0	0	0	0	0	0	0	0	0	2	0
엔차관	0	0	0	0	0	0	0	0	0	0	1	0
낙제점	0	0	0	0	0	0	0	0	0	0	1	0
울퉁불퉁하	0	0	0	0	0	0	0	0	0	0	1	0
대보름날	0	0	0	1	0	0	0	0	0	0	0	0
이거	0	0	0	0	0	0	0	0	0	0	2	0
두레마을	0	3	0	0	0	0	0	0	0	0	0	0
그리이스	0	0	2	0	0	0	0	0	0	0	0	0
노발대발	0	0	0	0	0	0	0	0	0	0	1	0
산타	1	0	0	0	0	0	0	0	0	0	0	0
아랫도리	0	0	0	0	0	0	0	0	0	0	2	0
직무	0	0	0	0	0	0	0	0	0	0	1	0
김장관	7	0	0	0	0	0	0	0	0	0	0	0
회관	0	0	0	0	0	0	0	0	0	0	2	1
해결	0	0	0	0	0	0	0	0	0	0	12	0
헐떡거리	0	0	0	0	0	0	0	0	0	0	1	0
미덥	0	0	0	0	0	0	0	0	0	0	1	0
바라보	0	0	0	0	0	0	0	0	0	0	21	0
정부조직	0	0	0	0	0	0	0	0	0	0	1	0
여성학연구소	0	0	0	0	0	0	0	0	0	0	1	0
대체	0	0	0	0	0	0	0	0	0	0	6	0
독재자	0	0	0	0	0	0	0	0	0	0	1	0
개념	0	0	0	0	0	0	0	0	0	0	22	0
沙羅林	0	0	0	0	0	0	0	0	0	0	1	0
당산나무	0	0	0	0	0	0	0	0	0	0	1	0
할빈	0	0	1	0	0	0	0	0	0	0	0	0
성	0	0	0	0	0	0	0	0	0	0	93	1
우	0	0	0	0	0	0	0	0	0	0	1	0
평화공존	0	0	0	0	0	0	0	0	0	0	1	0
요지	0	0	0	0	0	0	0	0	0	0	2	0
우연히	0	0	0	0	0	0	0	0	0	0	5	0
굉장히	0	0	0	0	0	0	0	0	0	0	2	0
한껏	0	0	0	0	0	0	0	0	0	0	1	0
허충림교수	1	0	0	0	0	0	0	0	0	0	0	0
후쿠오카	0	0	1	0	0	0	0	0	0	0	0	0
손목시계	0	0	0	0	0	0	0	0	0	0	1	0
양식미	0	0	0	0	0	0	0	0	0	0	1	0
탄식	0	0	0	0	0	0	0	0	0	0	3	0
플라톤주의	0	0	0	0	0	0	0	0	0	0	1	0
되돌리	0	0	0	0	0	0	0	0	0	0	2	0
광주농고	0	1	0	0	0	0	0	0	0	0	0	0
육왕학	0	0	0	0	0	0	0	0	0	0	1	0
씰크	0	0	0	0	0	0	0	0	0	0	1	0
까빡까빡하	0	0	0	0	0	0	0	0	0	0	1	0
별도법인	0	0	0	0	0	0	0	0	0	0	1	0
원수	0	0	0	0	0	0	0	0	0	0	7	0
조태근	1	0	0	0	0	0	0	0	0	0	0	0
신임장	0	0	0	0	0	0	0	0	0	0	1	0
토대	0	0	0	0	0	0	0	0	0	0	1	0
한	0	0	1	22	2	0	0	0	0	0	176	1
가책	0	0	0	0	0	0	0	0	0	0	1	0
ㄹ까	0	0	0	0	0	0	0	0	0	0	27	0
수사초점	0	0	0	0	0	0	0	0	0	0	1	0
그저	0	0	0	0	0	0	0	0	0	0	4	0
권근	3	0	0	0	0	0	0	0	0	0	1	0
좌석	0	0	0	0	0	0	0	0	0	0	1	0
수감중	0	0	0	0	0	0	0	0	0	0	1	0
지금껏	0	0	0	0	0	0	0	0	0	0	3	0
이빈씨	1	0	0	0	0	0	0	0	0	0	0	0
차	0	0	0	0	0	0	0	0	0	0	26	2
써넣	0	0	0	0	0	0	0	0	0	0	1	0
태연히	0	0	0	0	0	0	0	0	0	0	1	0
아래위	0	0	0	0	0	0	0	0	0	0	1	0
주신	0	0	0	0	0	0	0	0	0	0	1	0
39	0	0	0	0	0	0	0	0	0	0	2	0
종식	0	0	0	0	0	0	0	0	0	0	5	0
신학	0	0	0	0	0	0	0	0	0	0	4	0
조롱	0	0	0	0	0	0	0	0	0	0	1	0
초췌	0	0	0	0	0	0	0	0	0	0	1	0
몰수	0	0	0	0	0	0	0	0	0	0	1	0
의논	0	0	0	0	0	0	0	0	0	0	1	0
가스회사	0	0	0	0	0	0	0	0	0	0	5	0
이단시	0	0	0	0	0	0	0	0	0	0	1	0
지략	0	0	0	0	0	0	0	0	0	0	1	0
재벌총수	0	0	0	0	0	0	0	0	0	0	1	0
과제	0	0	0	0	0	0	0	0	0	0	8	0
